time,cluster,region,ensemble_member,x,y,Temperature,RelativeHumidity,Wind_U,Wind_V,Pressure,CloudCover,WindGustSpeed,distance
2000-02-06 00:00:00,0.0,SE1,4.5,189379.00052966102,329143.98146186443,254.65874,0.9733408,0.032409977,1.1021669,102806.586,0.7211703,3.2338986,0.5075034224741993
2000-02-06 00:00:00,0.0,SE2,4.5,14551.631058304398,39558.280207881224,262.04736,0.9835729,-0.81097037,-0.050970368,102679.19,0.9927253,2.5000327,0.5577658385800007
2000-02-06 00:00:00,0.0,SE3,4.5,-2779.5236672794117,-401977.6525735294,262.84818,0.9250243,-0.9901976,-1.431586,102611.41,0.5221613,3.8640604,0.5124430815218238
2000-02-06 00:00:00,0.0,SE4,4.5,72276.49851190476,-681235.3869047619,265.1305,0.92482287,1.8628299,-2.4015162,102565.36,0.052283224,4.994339,0.5125950810811305
2000-02-06 00:00:00,1.0,SE1,4.5,270273.2144396552,267221.1223060345,252.50868,0.9347221,0.9712009,0.42983162,102917.195,0.17890488,3.2902265,0.5446180482607175
2000-02-06 00:00:00,1.0,SE2,4.5,153139.59375,139836.05729166666,255.47246,0.99003154,-0.10847756,0.33658886,102837.36,0.8734702,2.5412738,0.49046944267167353
2000-02-06 00:00:00,1.0,SE3,4.5,-141450.9234913793,-510020.2596982759,265.4609,0.9203003,1.3958809,0.69291925,102644.76,0.8768371,3.1054618,0.4943234362317953
2000-02-06 00:00:00,1.0,SE4,4.5,-130593.5143581081,-697709.0033783783,265.7179,0.87621737,-0.15929343,-0.26450813,102703.695,0.19863091,2.2958276,0.5247444273735107
2000-02-06 00:00:00,2.0,SE1,4.5,341104.33733974356,437848.8934294872,252.75829,0.97854155,-0.6932985,2.104106,103020.65,0.6205687,3.9410446,0.5293631369439763
2000-02-06 00:00:00,2.0,SE2,4.5,74714.59375,-110530.609375,259.87592,0.9677275,-0.5000488,-0.5076323,102751.21,0.75349736,2.7619302,0.5386118501409444
2000-02-06 00:00:00,2.0,SE3,4.5,193514.59375,-585330.6229166667,269.7252,0.74004173,1.7945106,-4.081964,102386.06,0.66193956,7.0930943,0.551341566946173
2000-02-06 00:00:00,2.0,SE4,4.5,-86695.93256578948,-808804.3092105263,264.9051,0.9077472,0.5410056,-1.5052973,102678.27,0.033447586,2.824666,0.4674811314876194
2000-02-06 01:00:00,0.0,SE1,4.5,189379.00052966102,329143.98146186443,254.82982,0.9753218,0.3595464,0.829933,102784.51,0.6848445,3.0594463,0.5075034224741993
2000-02-06 01:00:00,0.0,SE2,4.5,14551.631058304398,39558.280207881224,262.0535,0.9816964,-1.1118696,0.021181425,102650.27,0.99423695,2.8575144,0.5577658385800007
2000-02-06 01:00:00,0.0,SE3,4.5,-2779.5236672794117,-401977.6525735294,262.42957,0.93783057,-0.8842405,-1.635058,102551.39,0.49591586,4.0233045,0.5124430815218238
2000-02-06 01:00:00,0.0,SE4,4.5,72276.49851190476,-681235.3869047619,264.94324,0.92992115,1.820307,-2.3230033,102479.414,0.115735374,5.108534,0.5125950810811305
2000-02-06 01:00:00,1.0,SE1,4.5,270273.2144396552,267221.1223060345,252.51024,0.93470997,0.9110895,0.51317644,102885.1,0.20887066,3.1111405,0.5446180482607175
2000-02-06 01:00:00,1.0,SE2,4.5,153139.59375,139836.05729166666,255.54974,0.9899885,-0.4516716,0.6723207,102814.555,0.8880289,2.8970547,0.49046944267167353
2000-02-06 01:00:00,1.0,SE3,4.5,-141450.9234913793,-510020.2596982759,266.14288,0.9105968,1.5887473,0.54148495,102576.39,0.9623191,3.3687518,0.4943234362317953
2000-02-06 01:00:00,1.0,SE4,4.5,-130593.5143581081,-697709.0033783783,265.591,0.88398254,0.20050463,-0.32537508,102612.91,0.23063774,2.3328192,0.5247444273735107
2000-02-06 01:00:00,2.0,SE1,4.5,341104.33733974356,437848.8934294872,252.89502,0.9792792,-0.76737213,1.8844727,102983.61,0.73078644,3.7634447,0.5293631369439763
