time,cluster,region,ensemble_member,x,y,Temperature,RelativeHumidity,Wind_U,Wind_V,Pressure,CloudCover,WindGustSpeed,distance
2000-03-02 00:00:00,0.0,SE1,4.5,189379.00052966102,329143.98146186443,260.44165,0.9874401,0.37283948,-0.6800879,102117.836,0.95753074,2.173952,0.5075034224741993
2000-03-02 00:00:00,0.0,SE2,4.5,14551.631058304398,39558.280207881224,255.50124,0.9092117,-0.31011572,-0.95376635,102142.93,0.9913025,2.191035,0.5577658385800007
2000-03-02 00:00:00,0.0,SE3,4.5,-2779.5236672794117,-401977.6525735294,263.0679,0.9440371,-1.7715384,-2.1113656,101741.12,0.88395864,5.5476613,0.5124430815218238
2000-03-02 00:00:00,0.0,SE4,4.5,72276.49851190476,-681235.3869047619,269.12747,0.8689451,-2.978548,-2.1072838,101196.44,0.9509626,6.539747,0.5125950810811305
2000-03-02 00:00:00,1.0,SE1,4.5,270273.2144396552,267221.1223060345,264.1638,0.9761841,0.9319519,-1.0474945,102060.1,0.9974795,2.7411706,0.5446180482607175
2000-03-02 00:00:00,1.0,SE2,4.5,153139.59375,139836.05729166666,258.37134,0.9741392,0.25328624,-0.95942765,102120.62,0.9932764,2.6916943,0.49046944267167353
2000-03-02 00:00:00,1.0,SE3,4.5,-141450.9234913793,-510020.2596982759,266.63898,0.87410605,-3.6555634,-2.0804746,101529.89,0.95693874,7.729127,0.4943234362317953
2000-03-02 00:00:00,1.0,SE4,4.5,-130593.5143581081,-697709.0033783783,268.98468,0.83618903,-3.4127407,-0.76953226,101226.02,0.96368855,6.5036545,0.5247444273735107
2000-03-02 00:00:00,2.0,SE1,4.5,341104.33733974356,437848.8934294872,266.63177,0.9744336,-1.4516163,-0.2916962,102087.41,0.999616,3.0462265,0.5293631369439763
2000-03-02 00:00:00,2.0,SE2,4.5,74714.59375,-110530.609375,259.13336,0.95900077,0.22241205,-1.3013384,102048.6,0.99634045,2.9633412,0.5386118501409444
2000-03-02 00:00:00,2.0,SE3,4.5,193514.59375,-585330.6229166667,270.11432,0.77527124,-5.5392804,-1.5135353,101294.37,0.8804618,8.385795,0.551341566946173
