,ensemble_member,time,x,y,lat,lon,cluster,distance,weight,region
8230,0,2000-02-26 00:00:00,157514.59375,300669.40625,65.66515101744058,18.435480659389405,0,0.7725653730597783,122,SE1
8231,0,2000-02-26 00:00:00,157514.59375,310669.40625,65.7548506425872,18.447161442137283,0,0.731598521186062,122,SE1
8232,0,2000-02-26 00:00:00,157514.59375,320669.40625,65.84454228128006,18.45892184932399,0,0.699908869428748,122,SE1
8233,0,2000-02-26 00:00:00,157514.59375,330669.40625,65.93422568091985,18.470762697103513,0,0.6787971499029053,122,SE1
8234,0,2000-02-26 00:00:00,157514.59375,340669.40625,66.02390058797758,18.482684812811218,0,0.6692652531060322,122,SE1
8235,0,2000-02-26 00:00:00,157514.59375,350669.40625,66.11356674798704,18.49468903515585,0,0.6718063107938543,122,SE1
8236,0,2000-02-26 00:00:00,157514.59375,360669.40625,66.203223905537,18.50677621441539,0,0.6862862256197271,122,SE1
8237,0,2000-02-26 00:00:00,157514.59375,370669.40625,66.2928718042634,18.51894721263706,0,0.7119768879393444,122,SE1
8238,0,2000-02-26 00:00:00,157514.59375,380669.40625,66.38251018684147,18.53120290384145,0,0.7477235315975549,122,SE1
8239,0,2000-02-26 00:00:00,157514.59375,390669.40625,66.47213879497743,18.5435441742309,0,0.7921658465489543,122,SE1
8396,0,2000-02-26 00:00:00,167514.59375,270669.40625,65.3911066078052,18.616377302285887,0,0.7802944026246438,122,SE1
8397,0,2000-02-26 00:00:00,167514.59375,280669.40625,65.48081255443137,18.628546236861407,0,0.7083690492554995,122,SE1
8398,0,2000-02-26 00:00:00,167514.59375,290669.40625,65.57051117147513,18.640797255872396,0,0.6411137441335657,122,SE1
8399,0,2000-02-26 00:00:00,167514.59375,300669.40625,65.66020220816017,18.65313119177068,0,0.5801561325206542,122,SE1
8400,0,2000-02-26 00:00:00,167514.59375,310669.40625,65.74988541279043,18.665548888290274,0,0.5276845391922004,122,SE1
8401,0,2000-02-26 00:00:00,167514.59375,320669.40625,65.83956053274261,18.67805120063897,0,0.4864541289306198,122,SE1
8402,0,2000-02-26 00:00:00,167514.59375,330669.40625,65.92922731445869,18.690638995693806,0,0.4595022274262541,122,SE1
8403,0,2000-02-26 00:00:00,167514.59375,340669.40625,66.0188855034381,18.703313152200558,0,0.4494064562347396,122,SE1
8404,0,2000-02-26 00:00:00,167514.59375,350669.40625,66.10853484423014,18.71607456097735,0,0.4572858138838207,122,SE1
8405,0,2000-02-26 00:00:00,167514.59375,360669.40625,66.19817508042588,18.728924125122443,0,0.4822611286061277,122,SE1
8406,0,2000-02-26 00:00:00,167514.59375,370669.40625,66.28780595465022,18.741862760226294,0,0.5218846527238511,122,SE1
8407,0,2000-02-26 00:00:00,167514.59375,380669.40625,66.3774272085535,18.75489139458811,0,0.5731270649750522,122,SE1
8408,0,2000-02-26 00:00:00,167514.59375,390669.40625,66.4670385828033,18.76801096943684,0,0.6331743871212281,122,SE1
8409,0,2000-02-26 00:00:00,167514.59375,400669.40625,66.5566398170759,18.78122243915678,0,0.6997642039201589,122,SE1
8410,0,2000-02-26 00:00:00,167514.59375,410669.40625,66.64623065004757,18.794526771518022,0,0.771204143742932,122,SE1
8564,0,2000-02-26 00:00:00,177514.59375,260669.390625,65.29620977028938,18.818960960165906,0,0.7425096083608055,122,SE1
8565,0,2000-02-26 00:00:00,177514.59375,270669.40625,65.3859059218484,18.831765283275377,0,0.6570847871818578,122,SE1
8566,0,2000-02-26 00:00:00,177514.59375,280669.40625,65.47559475331828,18.844655633759807,0,0.5732135325115263,122,SE1
8567,0,2000-02-26 00:00:00,177514.59375,290669.40625,65.56527615402688,18.85763290081806,0,0.4916938186043385,122,SE1
8568,0,2000-02-26 00:00:00,177514.59375,300669.40625,65.6549498722215,18.870697965442826,0,0.41392030977047006,122,SE1
8569,0,2000-02-26 00:00:00,177514.59375,310669.40625,65.74461565521666,18.88385172055893,0,0.34245842602217563,122,SE1
8570,0,2000-02-26 00:00:00,177514.59375,320669.40625,65.83427324938671,18.89709507122582,0,0.2821496099806649,122,SE1
