,SE1,SE2,SE3,SE4
2000-01-01 00:00:00+00:00,248.36751199999998,466.054477,764.836097,437.724342
2000-01-01 01:00:00+00:00,238.10426500000003,449.537397,656.174814,427.607047
2000-01-01 02:00:00+00:00,228.78177100000002,497.11267499999997,588.884484,386.638395
2000-01-01 03:00:00+00:00,218.60849100000001,588.583537,536.230328,365.97047
2000-01-01 04:00:00+00:00,187.17922099999998,639.38554,477.091549,360.579635
2000-01-01 05:00:00+00:00,178.331932,658.080024,444.330346,361.413642
2000-01-01 06:00:00+00:00,173.550617,691.157244,407.432569,451.553741
2000-01-01 07:00:00+00:00,166.64519,712.801652,419.465505,618.177897
2000-01-01 08:00:00+00:00,170.209444,704.0577079999999,393.62663,789.2420330000001
2000-01-01 09:00:00+00:00,167.185108,661.584652,351.40084499999995,904.226233
2000-01-01 10:00:00+00:00,124.48137,620.59025,298.575716,1089.193511
2000-01-01 11:00:00+00:00,107.626047,598.610052,291.526181,1203.802877
2000-01-01 12:00:00+00:00,93.693984,544.502444,360.68262,1147.6730109999999
2000-01-01 13:00:00+00:00,78.97419599999999,504.04186200000004,416.77113099999997,1190.254851
2000-01-01 14:00:00+00:00,66.53266400000001,437.626233,457.116045,1209.779418
2000-01-01 15:00:00+00:00,65.762168,396.603157,430.642385,1250.1966200000002
2000-01-01 16:00:00+00:00,74.136799,368.93244799999997,417.597038,1281.472958
2000-01-01 17:00:00+00:00,84.390178,322.128705,429.643864,1226.532765
2000-01-01 18:00:00+00:00,84.78842999999999,326.776071,473.20262099999997,1228.851175
2000-01-01 19:00:00+00:00,78.413883,298.89924099999996,529.8253129999999,1175.229727
2000-01-01 20:00:00+00:00,68.274351,242.113592,620.453751,1068.95371
2000-01-01 21:00:00+00:00,56.531932999999995,225.71898800000002,666.672731,1013.4116759999999
2000-01-01 22:00:00+00:00,49.801273,220.058336,735.013699,940.0362439999999
2000-01-01 23:00:00+00:00,46.564564,212.05948999999998,852.6929719999999,863.029253
2000-01-02 00:00:00+00:00,36.136513,204.681793,862.699965,781.290964
2000-01-02 01:00:00+00:00,30.635627,208.73190400000001,896.127619,768.150555
2000-01-02 02:00:00+00:00,25.279215,192.55686799999998,851.959289,798.162714
2000-01-02 03:00:00+00:00,22.796706999999998,171.17087700000002,838.325859,800.675429
2000-01-02 04:00:00+00:00,22.872454,171.03825899999998,889.32625,746.9508619999999
2000-01-02 05:00:00+00:00,19.248904,161.77771900000002,875.964446,704.117013
2000-01-02 06:00:00+00:00,17.34114,173.88877100000002,874.0391010000001,645.1605840000001
2000-01-02 07:00:00+00:00,15.179802,154.217039,878.066884,607.66375
2000-01-02 08:00:00+00:00,18.763004000000002,149.270824,881.4596580000001,527.553208
2000-01-02 09:00:00+00:00,21.874517,130.54707000000002,850.6251149999999,464.886376
2000-01-02 10:00:00+00:00,21.131036,141.72198999999998,723.941094,432.930014
2000-01-02 11:00:00+00:00,21.39509,133.51909099999997,596.29707,404.327809
2000-01-02 12:00:00+00:00,22.063948,132.87105400000002,555.040189,420.38681
2000-01-02 13:00:00+00:00,24.35415,158.01710200000002,541.683935,402.61911
2000-01-02 14:00:00+00:00,28.001849999999997,169.96712599999998,514.205738,373.682692
2000-01-02 15:00:00+00:00,35.283885000000005,199.303404,566.6451609999999,390.295376
2000-01-02 16:00:00+00:00,44.112449999999995,214.624481,603.224736,435.747677
2000-01-02 17:00:00+00:00,45.39,220.01916599999998,601.262648,417.654659
2000-01-02 18:00:00+00:00,44.59695,251.654321,539.8380330000001,313.17316600000004
2000-01-02 19:00:00+00:00,43.95215,306.991816,480.51118199999996,375.272925
2000-01-02 20:00:00+00:00,42.03563,301.56674300000003,455.13745400000005,393.28686
2000-01-02 21:00:00+00:00,42.98093,288.05469300000004,391.416338,387.049634
2000-01-02 22:00:00+00:00,40.1254,304.606472,365.01461800000004,320.829996
2000-01-02 23:00:00+00:00,36.149016,300.222181,331.01276299999995,337.55145699999997
2000-01-03 00:00:00+00:00,33.386367,309.292675,318.24937300000005,327.486695
2000-01-03 01:00:00+00:00,26.190974999999998,232.454455,375.87106,355.208136
2000-01-03 02:00:00+00:00,36.588854,186.334247,380.004283,439.133872
2000-01-03 03:00:00+00:00,44.124773999999995,181.75719800000002,409.852791,575.92156
2000-01-03 04:00:00+00:00,65.80964900000001,177.71046299999998,454.65167099999996,744.255035
2000-01-03 05:00:00+00:00,65.625145,190.791086,516.799917,903.1508980000001
2000-01-03 06:00:00+00:00,56.726127,213.121869,597.8801729999999,1038.758616
2000-01-03 07:00:00+00:00,54.551177,223.46810200000002,716.7068939999999,1171.92757
2000-01-03 08:00:00+00:00,56.02086,245.40765100000002,812.3527260000001,1266.3223799999998
2000-01-03 09:00:00+00:00,52.827774,241.08039000000002,913.346995,1306.879429
2000-01-03 10:00:00+00:00,65.229905,203.42471,980.220782,1339.390997
2000-01-03 11:00:00+00:00,77.913118,155.200958,1044.95933,1353.881816
2000-01-03 12:00:00+00:00,86.861306,131.578147,1133.537679,1335.269415
2000-01-03 13:00:00+00:00,94.503371,109.917689,1225.843392,1233.710563
2000-01-03 14:00:00+00:00,69.722218,96.9095,1287.742562,1044.475367
2000-01-03 15:00:00+00:00,65.165359,89.562376,1343.9732849999998,965.03034
2000-01-03 16:00:00+00:00,37.94905,71.445918,1381.002297,887.677475
2000-01-03 17:00:00+00:00,25.756427,60.949266,1380.6059169999999,767.343471
2000-01-03 18:00:00+00:00,14.926937,51.380334000000005,1341.244275,643.437024
2000-01-03 19:00:00+00:00,10.803370000000001,51.64855,1330.897766,512.919612
2000-01-03 20:00:00+00:00,14.839981,56.640692,1304.269337,405.66551799999996
2000-01-03 21:00:00+00:00,30.235287,61.021576,1285.168918,318.606337
2000-01-03 22:00:00+00:00,25.793167,57.250519,1262.3447979999999,248.54434099999997
2000-01-03 23:00:00+00:00,34.520109,63.065422,1201.113438,227.51529399999998
2000-01-04 00:00:00+00:00,33.735166,83.625586,1152.807183,213.348141
2000-01-04 01:00:00+00:00,43.543774,118.339892,1133.1137720000002,179.656
2000-01-04 02:00:00+00:00,52.716464,164.08956700000002,1097.867,135.26191200000002
2000-01-04 03:00:00+00:00,56.121527,197.83943299999999,1043.3498419999999,87.64072900000001
2000-01-04 04:00:00+00:00,76.760583,246.991033,1010.8279699999999,66.41622699999999
2000-01-04 05:00:00+00:00,77.037554,304.286607,964.796302,59.28839
2000-01-04 06:00:00+00:00,68.93240899999999,304.50496899999996,910.157529,59.707721
2000-01-04 07:00:00+00:00,69.598716,306.590806,813.3397950000001,94.672159
2000-01-04 08:00:00+00:00,66.850472,298.199515,769.6800039999999,81.787808
2000-01-04 09:00:00+00:00,74.701692,313.376946,760.186645,64.543659
2000-01-04 10:00:00+00:00,75.042365,349.71536499999996,732.3491300000001,61.798089
2000-01-04 11:00:00+00:00,88.33621099999999,357.26617300000004,697.754646,75.624639
2000-01-04 12:00:00+00:00,96.209621,356.053152,632.3348540000001,90.24632799999999
2000-01-04 13:00:00+00:00,125.249046,390.344811,543.6992750000001,90.900322
2000-01-04 14:00:00+00:00,140.926853,436.986623,513.480292,106.445196
2000-01-04 15:00:00+00:00,149.964201,569.885128,510.09946399999995,120.860996
2000-01-04 16:00:00+00:00,165.37873199999999,561.0637979999999,499.66550900000004,146.44421100000002
2000-01-04 17:00:00+00:00,166.587706,551.706512,505.00615999999997,157.66984599999998
2000-01-04 18:00:00+00:00,177.90672800000002,518.640184,483.29946,139.454473
2000-01-04 19:00:00+00:00,193.60536199999999,567.2362929999999,446.726088,108.363094
2000-01-04 20:00:00+00:00,205.10886,631.295971,385.37262400000003,104.00048699999999
2000-01-04 21:00:00+00:00,213.155731,660.718262,362.56581800000004,114.116876
2000-01-04 22:00:00+00:00,228.664271,691.45774,362.371269,104.87194199999999
2000-01-04 23:00:00+00:00,239.60919,661.0639669999999,351.967432,84.101643
2000-01-05 00:00:00+00:00,284.20642499999997,642.743828,346.627278,69.00684299999999
2000-01-05 01:00:00+00:00,312.673827,708.9850620000001,350.130554,50.927043
