,region,lat,lon,installation-date
0,SE3,59.253088042386636,14.133793111295974,1881-12-31
1,SE3,59.38015130236439,12.802235454379547,1881-12-31
2,SE3,59.17846847716789,15.075021627622005,1881-12-31
3,SE2,63.43756635671431,13.376852365949885,1881-12-31
4,SE2,63.43698164686333,13.376547864778216,1881-12-31
5,SE2,63.52324421041895,19.17495703761912,1881-12-31
6,SE4,56.94162828927581,12.616258833425887,1964-12-31
7,SE3,57.699677560774795,11.661925276336994,1966-06-01
8,SE4,55.40580938384801,13.200391064896069,1966-12-31
9,SE3,57.79237632933727,18.774958713850282,1969-12-09
10,SE3,58.459215306280356,13.536623879858045,1971-02-16
11,SE4,56.60698143181055,13.282558312490444,1972-01-01
12,SE4,55.71135817647372,13.144220669445488,1972-02-01
13,SE4,55.71020560327712,13.144935759433118,1972-02-01
14,SE3,57.11942200786914,18.251311234871487,1972-02-02
15,SE3,57.11931958290156,18.249653027954803,1972-02-03
16,SE4,55.74014901092701,13.133977906860762,1972-02-07
17,SE3,57.647615832377866,18.55284532821575,1972-06-04
18,SE3,57.12186668653396,18.254577758269868,1972-06-07
19,SE3,58.17254065690864,13.616133220648427,1972-09-30
20,SE3,57.42362992620674,18.88137771991476,1973-04-04
21,SE4,56.93969620186759,12.3783137138753,1973-07-11
22,SE4,56.94083847932147,12.37798720937187,1973-07-11
23,SE3,58.38340369573058,12.719781797957895,1973-08-21
24,SE4,55.689719959587606,13.309127480437711,1974-01-16
25,SE4,55.69630465184935,13.284462912898904,1974-01-16
26,SE4,56.91237135370361,16.393723282632962,1974-02-24
27,SE4,55.76482866810454,13.193997074805825,1974-04-01
28,SE3,58.73067094882439,12.453050335295426,1974-04-07
29,SE3,58.313728236167705,11.395015483014527,1974-06-01
30,SE3,58.20300359203245,11.690887805934727,1974-06-22
31,SE3,59.191312105608226,15.120949145487588,1974-06-26
32,SE4,56.43499351705674,12.98479642632234,1974-07-02
33,SE3,59.52019453105417,17.176559976771127,1974-08-10
34,SE3,57.55245087016586,18.43550950226143,1974-09-03
35,SE3,57.22333159332858,18.64477026665831,1974-10-28
36,SE3,57.22414450920807,18.648114994517776,1974-10-28
37,SE4,55.39541595542696,13.248343796073232,1974-12-15
38,SE4,55.5367770956474,14.345225399804455,1975-01-01
39,SE3,58.268038892111385,12.324819239281425,1975-01-01
40,SE4,55.53675503399396,14.343000772055992,1975-01-01
41,SE4,55.53672813188295,14.340752459505644,1975-01-01
42,SE3,57.06844391039314,18.216045890038746,1975-01-20
43,SE3,57.066626189743396,18.220875144872068,1975-02-09
44,SE4,55.367621656300116,13.243937778671956,1975-04-22
45,SE3,58.3833876675104,15.31900370908207,1975-05-15
46,SE4,56.53725096338115,13.044204885523206,1975-07-10
47,SE3,57.222266534832876,18.64977163527375,1975-07-12
48,SE3,58.22035693857868,12.432190345730042,1975-08-19
49,SE3,58.08174385278506,11.48061583357827,1975-09-23
50,SE4,56.48069733950917,12.987159753066564,1975-10-01
51,SE3,58.643884283342324,13.994985495085787,1975-11-20
52,SE3,57.06534181487646,18.22412258234496,1975-12-20
53,SE3,57.067448446955595,18.227607147324328,1975-12-21
54,SE4,56.54715304422384,13.006904382189093,1976-01-22
55,SE3,58.413109765315724,12.873302748018414,1976-02-02
56,SE3,57.759726696827634,18.44291991325386,1976-02-29
57,SE3,58.36077584387063,12.668421920213154,1976-04-27
58,SE4,56.632731598266474,12.931013124353127,1976-06-22
59,SE4,56.958832723073314,12.37701872925914,1976-09-29
60,SE4,55.788483378864186,13.29118496698491,1976-10-11
61,SE4,55.7823269148165,12.940546837011485,1976-10-16
62,SE3,57.94213479757698,11.565433931274516,1976-10-20
63,SE3,57.117919776654,18.42571212963559,1976-11-14
64,SE3,57.11806061055519,18.429718476610436,1976-11-14
65,SE3,57.386469605117476,18.182228599494266,1976-11-28
66,SE3,57.902746231670726,18.701149631232763,1976-12-14
67,SE3,59.67020176764793,16.856012956227065,1976-12-31
68,SE4,56.45766507147879,16.37326731093998,1976-12-31
69,SE3,59.05487132790229,13.0537772936394,1977-01-19
70,SE3,58.38142032265944,11.294977686224346,1977-01-30
71,SE3,58.40011873096861,14.717273411844491,1977-02-08
72,SE3,58.09193416225285,11.88631786870327,1977-04-03
73,SE3,58.294239476123465,11.44751197880065,1977-04-04
74,SE4,56.424324430743674,12.767828601601774,1977-04-05
75,SE4,56.42524067410635,12.76488549636945,1977-04-05
76,SE3,58.382105580232974,11.292248571761613,1977-05-31
77,SE4,56.45885820462614,13.01591211769599,1977-06-14
78,SE3,57.14526587433176,18.176320195392087,1977-07-31
79,SE3,57.147258752158244,18.17427528679621,1977-07-31
80,SE3,58.53328148567577,12.315111116308833,1977-08-23
81,SE3,58.61316017719166,12.522408564209302,1977-08-24
82,SE3,57.94140909006834,11.568612067856991,1977-09-17
83,SE3,58.596503593238,12.490694139646148,1977-09-26
84,SE3,58.804532182265355,13.69707036071783,1977-10-18
